,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
6947862790919978120,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Mastering Bash and Terminal,On Orchestrated Microservices - Built to Adapt,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,"The Languages, Frameworks and Tools You Should Learn in 2017"
6989198691754522425,Front in BH 2016,19 Tips For Everyday Git Use,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","The Languages, Frameworks and Tools You Should Learn in 2017",Why Learning Angular 2 Was Excruciating,Vision API - Image Content Analysis
6997620589258672675,Abrimos uma conta no Original.,Nubank e Goldman fecham parceria de R$ 200 milhões,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
7013665235990336340,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Abrimos uma conta no Original.,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Starbucks tem mais dinheiro do cliente em cartões do que bancos,CMN regulamenta abertura de conta de depósito por meio eletrônico,Campus São Paulo: conheça a primeira turma do Programa de Residentes
7065704533945771463,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,"Docker - Build, Ship, and Run Any App, Anywhere",Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Par de alianças impede que seu parceiro assista Netflix sem você,"DevOps security requires new mindset and tools for visibility, automation"
7087600436874507849,Workshop de Design Thinking - Unicamp,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Docker - Build, Ship, and Run Any App, Anywhere",14 Cool Drupal 8 modules for site builders | August 2016,Top 5 Android Testing Frameworks with Examples,Branding é problema seu. E meu.
7088167897470452815,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Test and deploy to Google App Engine with the new Maven and Gradle plugins,Qual é o valor da área de T&D na sua empresa?,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,4 Reasons Managers Should Spend More Time on Coaching
7155061818771055780,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Text summarization with TensorFlow,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Ordering coffee in Italy: the 10 commandments,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
7181581805250416928,Liberty vai adotar telemetria e baratear seguro para bons motoristas,The economic essentials of digital strategy,Measuring email effectiveness in retail banking,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Mobile Time,The sales secrets of high-growth companies
7187598944032799890,Top 15 Facebook Open Source Projects You Must Know,Facebook is open-sourcing its AI bot-building research,Programming by poking: why MIT stopped teaching SICP,It's The Future,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
7202701636941380671,Combining Spring Boot and JDBI,On Orchestrated Microservices - Built to Adapt,"Kotlin in Production - What works, Whats broken",Standing on the Shoulders of Giants - Built to Adapt,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",SOA com microserviços - Sensedia
7226503561499839165,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Cubr,"Autofill: What web devs should know, but don't"
7229629480273331039,"An independent organization just ranked Google as the best cloud, beating Amazon",Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Google lags behind Amazon and Microsoft's cloud in one important area,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Text summarization with TensorFlow
7255021292858609470,An operating model for company-wide agile development,An operating model for company-wide agile development,Big IT Rising,Why the customer experience matters,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Staying one step ahead at Pixar: An interview with Ed Catmull
7270966256391553686,Announcing .NET Core 1.0,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,How to finish 3D printed PLA objects,"Fresco, sim! - Android Dev BR",11 incredible ways UK businesses are using chatbots
7277161137091492767,An overview of web service solutions in Drupal 8,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Cross-channel user experiences with Drupal,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
7395435905985567130,The AI business landscape,"Hello, TensorFlow!","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Making open source data more available,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests
7400903238402587728,Inbox by Gmail ganha formatação de texto | Google Discovery,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",Ordering coffee in Italy: the 10 commandments,The barbell effect of machine learning.,Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks
7414483722019578252,Good developers take breaks * Greetings Programs,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Workplace diversity in Brazil: there's still a long way to go,The Ten Commandments of Egoless Programming,What to Inspect When You are Inspecting!
7424795099560672335,7 Tips to Create a Company Learning Culture like Google - Without Resources,Creating Your Code Review Checklist - DaedTech,Angular 2 versus React: There Will Be Blood - Free Code Camp,What Science Tells Us About Leadership Potential,Cubr,Building interfaces with ConstraintLayout - Google Developers
7429409096643373334,Beyond Progressive Web Apps Part 2: We Need to Know What's New,10 Modern Software Over-Engineering Mistakes,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Beyond Progressive Web Apps Part 1,Introduction to release engineering,"A whole new GitHub Universe: announcing new tools, forums, and features"
7434270606888620096,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Aplicação de visão computacional com OpenCV,Graph Capabilities with the Elastic Stack,"Secret's founder returns with Bold, a Medium for enterprise",Kubernetes,Gartner Reprint
7458850059926549081,Bring Your App To Life with CALayers,Announcing .NET Core 1.0,Communication patterns in a Microservice world,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,How to finish 3D printed PLA objects,Building interfaces with ConstraintLayout - Google Developers
7459643459148487877,Grupo de bancos adere à tecnologia do bitcoin em transações,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",The Future of Digital Banking is Now,Testes unitários vs aceitação - Android Dev BR,Agile: Falta competência nos testes,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
7459726589306441015,Shopping app Spring's redesign could be a game-changer,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
7506614456429888492,Assessing Salesforce's platform and ecosystem | ZDNet,How to Create an Exponential Mindset,Goodbye accountants! Startup builds AI to automate all your accounting,Creating value in auto finance with vLendRight | Kevin Moseri,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,This startup uses machine learning and satellite imagery to predict crop yields
7507067965574797372,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Live asynchronously.,Dark Scrum,Burger King aceita pedidos via mensagens no Facebook - Startupi,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Inteligência artificial da IBM criou 'trailer perfeito' para filme
7516228655554309785,A digital crack in banking's business model,Confused by blockchains? Revolution vs Evolution,The surprising truth about which countries lead in digital,Usability Heuristics for Bots - Chatbots Magazine,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Accidental discovery could help batteries last years longer
7520301770873472812,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Este texto do Ranieri é a melhor coisa que você lerá hoje,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio
